ano,UF,nome_programa,titulo,resumo,autor
2008,PE,SOCIOLOGIA,ANÁLISE DO DISCURSO POLÍTICO-IDEOLÓGICO DA REFORMA DA EDUCAÇÃO SUPERIOR DO GOVERNO LULA NA F. DE SÃO PAULO.,"Neste trabalho faz-se análise do discurso da reforma da educação superior no Governo Luís Inácio Lula da Silva, na Folha de São Paulo no período 2004-2006. Foi Primeiramente apresentado o ambiente em que a reforma foi formulada, em seguida apresenta-se o percurso teórico utilizado, com ênfase no papel da mídia impressa na.produção de discurso cujo efeito foi analisado segundo a perspectiva foucaultiana. Dentre os temas postos em evidência, pelo jornal, ganharam destaque autonomia, financiamento e relação setor público-privado. Os enunciados expostos em relação a cada um desses temas conduziram à indicação de duas formações discursivas conflituosas, organizando concepções de universidade, Estado e educação superior.",ANDRÉ ARAÚJO DE ANDRADE
2008,AL,SOCIOLOGIA,EDUCAÇÃO E IDEOLOGIA NO LIVRO DIDÁTICO:uma análise da relação entre o ensino da matemática e a vida social.,"O objetivo da dissertação é evidenciar os efeitos de sentido  das atividades educacionais do livro didático de matemática da 1ª série do ensino fundamental do MEC (Ministério da Educação), buscando desvendar elementos ideológicos nas propostas da educação básica. A pesquisa buscou elucidar estas questões partindo do materialismo dialético de Marx, cuja fundamentação teórico-metodológica está embasada na concepção – resgatada por Lukács – de  que o trabalho é o fundamento ontológico do ser social e das diversas formas de práxis. A educação  se desenvolve em uma dimensão particular da vida social que reproduz – pelo vínculo mantido com o trabalho – as condições econômicas de produção. Sendo a atual forma de sociabilidade capitalista, foi possível comprovar que as caracterizações ideológicas das atividades didáticas reproduzem por meio das idéias de compra, venda, salário, mercadoria etc. os interesses legitimadores da sociedade do capital. Por fim, chegamos a conclusão de que no ensino da matemática os conceitos numéricos e suas operações na forma de valores de troca se tornam parte natural de nossas vidas, sendo a educação uma instância de socialização fundamental para a reprodução do capital.",SYLVIO MARINHO DA PUREZA RAMIRES
2008,RJ,SOCIOLOGIA E ANTROPOLOGIA,Identidade e educação para  a fé Bahá´i no Brasil: um estudo antropológico.,"Esta dissertação investiga os processos de formação e fricção identitárias e as questões da educação conectadas aos dois, assim como a tomada de posição a partir do que foi aprendido e classificado como normal. Analisa como uma religião específica, a saber, a fé Baháí , utiliza essa mecanismo de formação de um ethos religioso, que compreende valores como a mobilidade, a flexibilidade, a educação e a reflexão, o “sacrifício” , a anti-hierarquia, anti-ritualização, a cortesia. O estudo dá ênfase especial a um determinado objetivo elaborado pelo pensamento religioso – o “fim das ideologias”, incorporado pela contrariedade ao nacionalismo – que é paulatinamente ensinado e absorvido pelos membros religiosos. O trabalho ainda analisa a polisemia do termo educação e como esses diferentes significados podem ser manipulados para objetivos diferentes.",CATHARINA EPPRECHT PEREIRA DE SOUZA
2008,RJ,SOCIOLOGIA E ANTROPOLOGIA,Expansão do Ensino Superior e mercado de trabalho: o caso da fisioterapia.,"Este estudo discute a expansão do ensino superior no Brasil através da análise de seu desenvolvimento ao longo da história e analisa os conceitos de profissão e do processo de profissionalização de acordo com FRIEDSON (1994) e LARSON (1977), principalmente. Apresenta uma análise histórica do processo de profissionalização da fisioterapia e da expansão dos curso de graduação e uma análise de como a educação superior pode produzir desigualdades a partir de diferentes condições de oportunidades de acesso e, conseqüentemente, de conquistas. Apesar da expansão do ensino superior dos últimos 10 anos, os curso de graduação em fisioterapia apresentam-se com ociosidade de vagas ocupada até 2003. Um estudo empírico foi realizado com acadêmicos de fisioterapia e fisioterapeutas no qual observou-se uma tendência aa percepção de mercado de trabalho saturado e redução de oportunidades de emprego para categoria,e entretanto, observa-se que há um aumento da diversificação das áreas de atuação para este profissional, assim como o aumento do número de entidades representativas .",MARIA CRISTINA DE CARVALHO TOMMASO
2008,RJ,SOCIOLOGIA E ANTROPOLOGIA,"Ser ""Trabalhador Flexível e Competente"": um olhar sobre a dinâmica família, trabalho e ducação"".","Este trabalho tem o início de discutir a complexidade da dinâmica família-trabalho-educação, buscando perceber de que forma famílias de trabalhadores, impactadas pela implantação de um pólo automotivo, reagem às novas exigências de escolaridade impostas pelo sistema produtivo. As fábricas reestruturadas e enxutas passaram a requerer um “novo perfil profissional qualificado e competente” e estabeleceram um novo patamar mínimo de escolaridade: o Ensino Médio. A região Sul Fluminense, um Distrito Industrial, tornou-se um lócus privilegiado para a observação dos impactos sociais e econômicos de novas formas de produção a partir da implantação de duas montadoras do setor automobilístico na localidade: a Volkswagen no ano de 1996 e a Peugeot-Citroën em 2001, nos municípios de Resende e Porto Real, respectivamente. Ambas as montadoras se propõem a operar a partir da idéia de produção enxuta, isto é, altos níveis de produtividade e reduzido número de trabalhadores, estabelecendo o discurso de maior participação e comprometimento dos trabalhadores com os objetivos da empresa. O foco principal da pesquisa é compreender de que forma os trabalhadores percebem a importância da educação no mercado de trabalho local, o pó posicionamento da escolarização dentro dos projetos familiares e suas estratégias de atuação, diante deste elemento que passou a ser central na constituição do “ser trabalhador”: a “educação”. Metodologicamente, a pesquisa combina recursos qualitativos e quantitativos .Qualitativamente, foram realizadas entrevistas guiadas com trabalhadores e suas famílias, enfocando suas trajetórias escolar e ocupacional, as expectativas com relação aos filhos e seus projetos familiares; entrevistas com atores da comunidade escolar local . Quantitativamente, realizaram-se comparações estatísticas, com base em dados regionais e municipais oriundos do Atlas do Desenvolvimento Humano no Brasil e outras fontes, bem como os dados fornecidos pelo survey com perfil dos metalúrgicos da Volkswagen. As novas concepções de qualificação colocadas no cenário local a partir do modelo de produção reestruturado, além de colocar estratégias educativas no centro das estratégias de reprodução familiares, estabeleceu um novo padrão escolar a ser atingido pelos próprios trabalhadores. Ser “trabalhador de fábrica” é, por motivos econômicos e sociais, possuir status social, o que faz com que os trabalhadores ser tornem trabalhadores-estudantes , a fim de ingressar ou se manter neste mercado.",MARINA DE CARVALHO CORDEIRO
2008,SP,SOCIOLOGIA,"VOCÊ VAI ME SERVIR : DESIGUALDADE, PROXIMIDADE E AGÊNCIA NOS DOIS LADOS DO EQUADOR","Essa dissertação apresenta uma etnografia de caráter comparativo das relações entre empregadas domésticas e seus empregadores, no Brasil e nos Estados Unidos. Com foco no entendimento das maneiras específicas com que empregadores contratam, interagem, e discutem a respeito de suas empregadas domésticas, a obra almeja alcançar um maior entendimento da reprodução e legitimação da desigualdade e da influência, da ideologia econômica neoliberal nos dois países. O estudo apresenta uma tipologia binacional de empregadas domésticas, uma análise histórica das transições históricas no emprego doméstico nos dois países e um estudo dos fatores econômicos influenciando o trabalho doméstico. A conclusão propõe que apenas um continuum recomeço, com relações ""tradicionais"" e afetivas, enraizado em relações sociais desenvolvidas em sociedades pré-capitalistas, e tendendo a relações mais ""racionalistas"" e impessoais pode explicar uma grande parte do desenvolvimento da profissão nos dois países. Porém, não é trabalhando para a evolução da ocupação profissional nesse sentido é que haverá melhorias para a empregada doméstica de forma duradoura.Para que mudanças fundamentais ocorram para melhorar a vida no emprego doméstico, é necessária ação coletiva que enfrente a racionalidade neoliberal hegemônica - uma força cultural e estrutural - que tem reconfigurado as paisagens socioeconômicas dos dois países e, nas últimas décadas, deixado cada vez mais mulheres sem outra opção que entrar para o emprego doméstico. O caso de emprego doméstico entre esses dois países demonstra bem como a racionalidade e as políticas neoliberais facilitam a reprodução continua de formas de desigualdade e servidão antes associadas com ordens sociais obsoletos",David Evan Harris
2008,SP,SOCIOLOGIA,Exclusão social e ruptura dos laços sociais: análise crítica do debate contemporâneo.,"Nesta tese, aborda-se teoricamente a noção de exclusão social tal como utilizada pelas ciências humanas brasileiras desde a década de 1990. A partir de um mapeamento inicial de suas definições mais recorrentes, examina-se em profundidade uma delas: a exclusão social como fragilização e ruptura de laços sociais. Depois de investigar suas origens na produção bibliográfica francesa, o estudo concentra-se na bibliografia brasileira, analisando criticamente o conceito supra-citado de exclusão social, a perspectiva dentro da qual ele se constrói e as teses elaboradas em torno dele. Investiga-se sua pertinência para caracterizar o fenômeno ao qual se refere, a relação entre a emergência do conceito e o contexto social e, por fim, as implicações práticas do uso de tal conceito para pensar possibilidades de superação do problema da exclusão social.",Giuliana Franco Leal
2008,PR,SOCIOLOGIA,"NEM EVA, NEM MARIA: AS SUBJETIVAÇÕES EM COLÉGIOS CATÓLICOS","Esta dissertação analisa como as mulheres construíram suas subjetividades generificadas a partir da experiência com as práticas e dispositivos pedagógicos engendrados em um colégio católico. Essa problematização amparou-se na articulação entre o referencial teórico de Michel Foucault – cuja leitura fizemos sob o olhar e contribuições de Gilles Deleuze – e a produção feminista e dos estudos de gênero, especialmente as reflexões de Judith Butler, Teresa de Lauretis e Guacira Lopes Louro. Nesta elaboração, analisa-se como se produz a tensão entre a reprodução e a ressignificação de práticas sociais, que envolvem os processos de subjetivação no gênero. A pesquisa foi realizada com ex-alunas do Colégio Santo André, da cidade de São José do Rio Preto, interior de São Paulo, que estudaram na instituição entre as décadas de 1940 e 1960. Neste período, o Colégio dedicava-se exclusivamente à educação feminina e seu discurso pedagógico produzia e reforçava um modelo normativo de feminilidade, assentado numa ordem simbólica referida ao doméstico, à família e à maternidade. Através de entrevistas narrativas com quinze ex-alunas analisa-se, num primeiro momento, como as práticas e dispositivos pedagógicos daquela escola estavam orientados para a produção de uma subjetividade feminina normatizada: o “sujeito feminino e cristão”. Posteriormente, como as mulheres relacionaram-se com tais práticas e dispositivos e realizaram a experiência consigo mesmas para se reconhecerem como sujeitos “mulher”, estabelecendo linhas de fratura e/ou permanência aos atributos desejáveis ao gênero feminino, a partir daquela época e lugar. A hipótese deste estudo é que os dispositivos pedagógicos colocados em prática pela educação católica, nos moldes desenvolvidos e vivenciados no Colégio Santo André, mesmo atuando sob uma discursividade a respeito da mulher referenciada no casamento e na maternidade, abriram “linhas de fraturas” que tornaram possíveis novas formas construção de si para aquelas mulheres. O processo analítico que empreendemos tenta rechaçar a utopia do sujeito universal e abstrato e cada experiência faz emergir as micro-histórias das vidas concretas de mulheres, que mostram as resistências diárias, os sujeitamentos, as instabilidades e as ambigüidades que atravessam a forma como elas se constroem e colocam-se no mundo de maneiras singulares e multifacetadas. Na vida diária é que as mulheres constroem-se e generificam-se no detalhe, nas práticas cotidianas, nos acordos e desacordos que travam nas inúmeras relações sociais que estabelecem com homens, crianças e outras mulheres. Sofrem e exercem poder de forma que ora se ajustam às práticas e discursos hegemônicos, ora se relacionam com discursos emergentes e contraditórios, colocando um pêndulo na balança das construções de  si mesmas como mulheres.",Daniela de Oliveira Rezende
2008,RS,SOCIOLOGIA,A escolha do curso superior dos vestibulandos da UFRGS: um estudo comparativo com utilização de ACM.,"Esta dissertação centrou-se sobre a questão: De que modo o volume de capitais econômico, cultural e escolar dos vestibulandos da Universidade Federal do Rio Grande do Sul influencia suas escolhas de curso de graduação. Para responder tal pergunta foi realizado um estudo quantitativo, utilizando o software SPSS versão 13.0. Foi selecionada uma amostra de 21 cursos de graduação do vestibular da UFRGS 2007. O modelo estatístico é formado por 8 variáveis explicativas relacionadas aos capitais econômico, cultural e escolar dos vestibulandos da UFRGS. A hipótese principal da dissertação afirma que os candidatos com alto volume de capitais econômico, cultural e escolar tendem a escolher os cursos de maior prestígio, mais concorridos e que dão acesso a profissões melhor remuneradas; e candidatos com baixo volume de capitais tendem a se inscrever, ao contrário, nos cursos menos prestigiados, menos concorridos e que formam para as profissões consideradas menos rentáveis. A hipótese acessória aponta a existência de um outro fator que exerce influência na escolha do curso superior que é a estrutura e a política institucionais. Os resultados empíricos apontaram para a confirmação das duas hipóteses. Há uma relação estatisticamente comprovada entre o volume de capitais do indivíduo e a escolha do curso de graduação. No entanto, no momento da escolha está também presente o aspecto institucional, ou seja, os incentivos e constrangimentos gerados pela instituição, e sua política referente, neste caso, ao acesso e inclusão de indivíduos com origens sociais distintas. Assim, a dissertação mostrou, por exemplo, que os cursos de Direito e Administração, considerados de alto prestígio, apresentam um perfil de candidato diferente a depender do turno em que é oferecido. O turno noturno atrai candidatos cujo volume de capitais econômico, cultural e escolar é mais baixo quando comparado ao seu equivalente diurno. Deste modo, é possível afirmar que além da influência do volume de capitais econômico, cultural e escolar, há um aspecto referente à estrutura e política institucionais que também interfere na escolha do curso de graduação.",Márcia Nascimento Henriques Knop
2008,RS,SOCIOLOGIA,Percepção das desigualdades socioeconômica: estudo sobre jovens universitários em Porto Alegre/RS.,"A percepção generalizada sobre a intensidade da desigualdade socioeconômica é uma questão que poderia ser considerada óbvia no caso brasileiro. A denúncia desse fenômeno por grupos populares desde muito antes da independência política; a realização de estudos desde a década de 1930; e as inúmeras reportagens e relatórios recentes que situam o Brasil no grupo dos países mais desiguais do mundo, poderiam tornar sua percepção uma obviedade. Esse trabalho problematizou junto a um grupo de jovens universitários se a desigualdade, enquanto problema social era percebida de forma homogênea por grupos com distintas trajetórias e origens sociais. Para se chegar até essa problematização, percorreu-se um caminho teórico que passou pela reconstrução dos argumentos centrais: da Sociologia do Conhecimento mannheimiana; de recentes contribuições da sociologia brasileira sobre as desigualdades locais; e de estudos sobre socialização. A realização da pesquisa com jovens exigiu um estudo específico sobre particularidades que constituem essa fase da vida. As teorias de estratificação revisitadas possibilitaram definir o pólo beneficiado pela situação social como classes sociais ricas. As percepções sobre desigualdade socioeconômica foram abordadas a partir de assuntos públicos que estiveram em debate ao longo da última década. Ao todo foram aplicados 162 junto a estudantes de oito cursos superiores da Universidade Federal do Rio Grande do Sul, dos quais 158 foram aproveitados na análise. A amostra foi estratificada de quatro formas diferentes: pelo Índice de Estratificação criado exclusivamente para a pesquisa; pela origem social, captada pela posição profissional do pai; pela trajetória escolar, definida pelo tipo de escola freqüentada; e pela renda familiar declarada. A seguir, captou-se a correlação entre as estratificações realizadas e as percepções sobre a desigualdade sócio-econômica. Dessa forma, foi possível relacionar e hierarquizar os fatores socializadores específicos com as percepções sociais. Para a análise diferenciaram-se as respostas em três categorias: nível de reconhecimento da desigualdade como um problema social estruturante das relações sociais no país; posicionamento aproximado às reivindicações igualitaristas, caracterizado como progressista; e posicionamento aproximado às reivindicações não-igualitaristas, caracterizado como conservador. Através do método da estratificação cruzada revelou-se que os indicadores que explicam o maior reconhecimento da desigualdade como problema são a trajetória escolar em escolas públicas, o pertencimento ao GSE C e a posição profissional do pai como funcionário. A segunda categoria apontou para um posicionamento progressista em relação ao equacionamento da desigualdade sócio-econômica. O exercício apontou para uma correlação mais forte entre o posicionamento progressista e as variáveis: trajetória escolar em estabelecimentos públicos, posição profissional do pai entre filhos de autônomos e funcionários. A terceira categoria indicou o posicionamento conservador em relação ao equacionamento da desigualdade. O procedimento adotado revelou uma correlação mais forte entre posicionamento mais conservador e as variáveis: renda familiar elevada; posição profissional do pai entre filhos de “executivos” e de autônomos. A apresentação dos dados e a análise a partir das categorias construídas indicam que há um padrão em torno de algumas variáveis do processo socializador que condicionam o modo de perceber a realidade social e sua dinâmica. Existe, tendencialmente, uma polarização entre um posicionamento mais conservador em relação ao enfrentamento da desigualdade socioeconômica naqueles egressos de escolas privadas, filhos de “executivos” e oriundos de famílias ricas, por um lado; e mais progressista entre os egressos de escolas públicas, filhos de funcionários e membros do grupo médio-baixo, por outro.",Francisco dos Santos Kieling
2008,RS,SOCIOLOGIA,Transformações da educação superior na Europa: a reforma da educação superior na Alemanha pós-processo de Bolonha.,"Esta dissertação tem por tema a reforma da educação superior implantada na Alemanha, após o processo de Bolonha. A partir do contexto europeu de discussões sobre um projeto de construção da Europa do Conhecimento através do denominado processo de Bolonha, procurou-se investigar como ocorreu a reforma nas universidades de um modelo que já fora uma referência mundial, o modelo humboldtiano de educação superior. Os métodos empregados para a compreensão do processo europeu e da reforma alemã foram análises de conteúdos dos principais documentos relacionados aos encontros de ministros europeus, ao governo federal alemão, aos Estados, aos reitores e as universidades. Pode-se constatar ao longo do estudo que o sistema de educação superior alemão percebeu o seu tradicional modelo como inadequado frente às transformações sociais do final do século XX. Na medida em que avançaram as discussões internas e externas à Alemanha sobre a educação superior foi sendo substituído o modelo tradicional pelo novo modelo de ciclos do Processo de Bolonha, preservando-se a autonomia das instituições universitárias alemãs.",Leonardo Renner Koppe
2008,GO,SOCIOLOGIA,O gênero na escola: a educação física em questão,"A escola é um importante local para a formação de identidades, pois acolhe os/as alunos/as no mínimo quatro horas por dia, durante 200 dias do ano, em vários anos da vida de crianças, adolescentes e adultos. Dentro deste espaço destaca-se a educação física como disciplina que trabalha sistematicamente com os elementos da cultura corporal. Durante a realização desta dissertação, percebi que a forma pela qual professores/as e alunos/as concebem os objetivos das aulas de educação física influencia diretamente a maneira como as questões de gênero aparecem no decorrer da prática pedagógica. Quando se possui concepções ligadas meramente aos aspectos de ensino de esportes, trabalhando na escola com ênfase nas valências físicas – força e agilidade –, prejudica-se a participação e o aprendizado das alunas e daqueles alunos que não correspondem aos padrões de masculinidade hegemônica. Nestas condições, parece-me importante a reorganização das aulas, tanto em relação à diversificação dos conteúdos quanto à forma de trabalhá-los, de maneira a promover o aprendizado de todos/as os/as alunos/as e não apenas à reprodução acrítica de atividades físicas passíveis de serem realizadas em qualquer espaço social, desarticuladas dos valores que norteiam a proposta pedagógica da escola. Por último, mas não menos importante, a pesquisa demonstrou que as meninas vivenciam um clima de medo durante as aulas e prefeririam que as mesmas fossem separadas por sexo, como forma de garantir sua integridade física. Isso não significa dizer, porém, que a separação seja o único caminho (nem o mais desejável) para garantir a participação e o aprendizado das meninas, podendo tais objetivos ser alcançados por meio de uma atuação dos/as professores/as comprometida com a promoção da equidade de gênero em todas as aulas, inclusive as de educação física.",Jeferson Moreira dos Santos
2008,DF,SOCIOLOGIA,A construção da agenda de gênero no sistema educacional brasileiro (1996-2007),"O trabalho apresenta uma pesquisa exploratória que mapeia o processo de construção da agenda de gênero dentro do sistema educacional brasileiro, no período entre 1996 e 2007. Ao mesmo tempo, propõe um marco teórico desenvolvido a partir das três dimensões da teoria de justiça de Fraser (1997, 2005): redistribuição, reconhecimento e representação, e a partir da adaptação dessas dimensões ao campo da educação primeiro sugerida por Caviedes, Fernández & Barrientos (2006). A proposta é compor um modelo tri-dimensional que, ao analisar ou formular a educação como política pública do Estado, abarque as dimensões econômica, cultural-simbólica e política de maneira integrada (entendendo que cada dimensão dialoga e interfere nas demais) e transversal (entendendo que essa leitura deve perpassar todo o sistema, em todas as suas instâncias e formulações). A pesquisa exploratória foi feita em três níveis: internacional, nacional e local. No plano internacional, foram examinados alguns documentos balizadores da agenda internacional de educação e da agenda internacional de gênero. No plano nacional (Estado Nacional Brasileiro, no nível da União), a pesquisa foi direcionada às instituições (através das entrevistas com técnicas e coordenadoras identificadas e com a Ministra Nilcéa Freire), aos documentos que conformam as bases legais da educação, às políticas nacionais de educação e às políticas de gênero na educação. Finalmente, no plano local (escolas), realizaram-se entrevistas com diretores, professora e alunas, de forma a identificar por que caminhos a agenda de gênero formulada pelo Estado alcança este espaço. Como resultado, identificou-se a co-existência de duas agendas de gênero e educação paralelas: uma primeira inaugurada em 1996, com a nova LDB e com a série de reformas educativas realizadas pelo Estado Brasileiro ao longo dos anos 1990, que responde aos compromissos internacionais assumidos pelo país; e uma segunda, inaugurada em 2004, com a formulação do I PNPM e com a criação da SECAD no Ministério da Educação. O percurso dessas agendas, sua posição no interior do Estado, bem como seu grau de complexidade e seu entendimento do que são e de onde se localizam as desigualdades de gênero, não são os mesmos. Enquanto a primeira, que começa a se desenhar em 1996, parte do centro para as extremidades, ou seja, das bases legais que definem a educação como política pública, para a formulação de políticas nacionais de educação; a segunda circula pelas extremidades, pelas políticas de gênero em educação e pela incidência pontual em algumas políticas nacionais de educação, sem haver conseguido, até agora, chegar ao centro.",Nina Madsen
2008,DF,SOCIOLOGIA,Projetos de futuro de jovens universitários no Distrito Federal: um estudo de caso,"A presente tese de doutorado insere-se no campo de sociologia de juventude. O seu tema foca os estilos e projetos de vida de jovens estudantes universitários nas duas universidades em Brasília, Distrito Federal: a Universidade de Brasília (UnB) e a Universidade Católica de Brasília (UCB). Três cursos diferentes foram escolhidos para a pesquisa empírica. São estes: Pedagogia, Física e Direito. O principal objetivo da pesquisa era saber como é a vida dos jovens universitários no Distrito Federal. Estudou-se qual é a sua relação com atividades políticas e movimentos culturais, como são suas famílias e que tipo de família pretendem construir no futuro e quais são seus planos profissionais. Os resultados da pesquisa incluem a conclusão que os jovens diferem em termos de condição socioeconômica em relação aos planos de futuro profissional. Os jovens das camadas mais altas da sociedade procuram se realizar sem se preocupar com a sobrevivência enquanto os estudantes de origem social inferior procuram estabilidade. Quanto aos papéis na futura família, além das diferenças socioeconômicas, os jovens diferem em termos de gênero. Nas futuras famílias os jovens de origem mais confortável começam a repensar os papéis sociais e as diferenças entre os gêneros não se destacam. Já os jovens de origem menos privilegiada reproduzem na futura família os papéis sociais tradicionais, sendo que a mãe-esposa, neste caso, abre mão da sua realização pessoal. Já em relação à participação política, a atitude crítica foi comum em todos os grupos pesquisados. Entretanto, a sua atuação difere significativamente das gerações anteriores.",Raisa Maarit Pauliina Ojala
2009,RJ,SOCIOLOGIA E ANTROPOLOGIA,Acesso e permanência nos cursos de graduação da UFRJ: O Centro de Filosofia e Ciências Humanas.,"O objetivo desta pesquisa será analisar em que medida a origem socioeconômica influencia o acesso e a permanência aos diferentes cursos de graduação da Universidade Federal do Rio de Janeiro - UFRJ. Avaliando comparativamente as informações de 854 alunos pertencentes a quatro dos oito cursos superiores do Centro de Filosofia e Ciências Humanas - CFCH - este trabalho se propõe a desempenhar duas tarefas. A primeira será examinar se os diferentes recursos sociais das famílias dos graduandos destas quatro carreiras - aqui hierarquizadas entre as 2 graduações com as maiores relações candidatos por vagas, Comunicação Social e Psicologia, e as duas com as menores relações, Ciências Sociais e Filosofia - sinalizaram uma mudança no perfil do alunado que tradicionalmente ocuparia as vagas em uma das principais instituições públicas do Brasil. Uma vez respondidas estas questões investigaremos se os mesmos indicadores sociais auxiliariam ou não na permanência dos diferentes grupos presentes neste espaço social.",ADRIANE PEREIRA GOUVEA
2009,RJ,SOCIOLOGIA E ANTROPOLOGIA,Transgressões ou reprodução? Discursos de homens e mulheres em profissões alternativas ao seu gênero.,"A dissertação pretende oferecer uma contribuição para o entendimento da relação entre gênero e ensino superior. Apesar de existir uma forte tendência à concentração por gênero em alguns cursos, como a Nutrição (mulheres) e a Engenharia Elétrica (homens), uma minoria de indivíduos consegue romper com as barreiras de gênero no que se refere à futura profissão. Nesse sentido, procuramos compreender: ....1) Por que alguns indivíduos transgridem as barreiras tradicionais de gênero? ....2) Como estes sujeitos ""deslocados"" desenvolvem suas trajetórias acadêmicas? ....3) Será que os homens do curso de Nutrição sofrem as mesmas dificuldades que as mulheres que cursam Engenharia? ....Para responder tais questões realizamos entrevista em profundidade com roteiro semi-estruturado com aluno(a)s de ambos cursos da Universidade Federal Fluminense. Os resultados da pesquisa mostram que os homens que freqüentam o curso de Nutrição enfrentam maiores obstáculos em sua trajetória acadêmica do que mulheres que cursam Engenharia. Enquanto que as mulheres parecem se adaptar às especialidades já existentes na Engenharia, os homens na Nutrição resistem a se integrarem neste universo profissional e passam a criar uma nova especialidade (tipicamente masculina) no interior do curso feminino. Além disso, percebemos ainda que o conjunto do(a)s estudantes do curso de Engenharia Elétrica possui visões mais igualitárias de gênero do que entre aquele(a)s da Nutrição",MANI TEBET AZEVEDO DE MARINS
2009,RJ,SOCIOLOGIA E ANTROPOLOGIA,Uma Escola de Luta: Análise dos significados da educação em um estudo de drama social.,"O presente trabalho visa compreender as representações de professores, diretores e representantes do poder público a respeito da educação a partir da análise de um conflito ocorrido entre membros de uma escola estadual da Zona Norte da cidade do Rio de Janeiro e a Secretaria de Educação. Utilizando o método do drama social, assinalo que os criadores de políticas públicas e os agentes nas escolas põem em práticas representações sobre o ensino e a possibilidade que os alunos tem de aprender. O que está em jogo nesta abordagem não é a qualidade de trabalho dos professores, mas sim uma possível dualidade na concepção de educação prevalecente entre professores e representantes do Estado. Isso significa que qualquer política implementada na escola deve ser encarada do ponto de vista de hábitos e práticas e professores e outros atores nas escolas, e não apenas de sua justificativa teórica.",SABRINA GALENO DA COSTA
2009,MG,SOCIOLOGIA,Deslocamentos urbanos e desigualdades.sociais: um estudo do movimento diário da.população de Belo Horizonte.Belo Horizonte.2009,"Esta é uma proposta de abordagem sociológica dos deslocamentos que as pessoas realizam.no espaço urbano para atingir os mais variados destinos. Postula-se que este conjunto de.deslocamentos é uma importante variável para compreensão da organização social no.espaço urbano. O foco do trabalho é a relação entre os deslocamentos pela cidade,.transportes e desigualdades sociais, cujo resultado imediato se expressa em padrões.diferentes de usos do tempo e do espaço urbano. Os dados são oriundos da Pesquisa de.Usos do Tempo realizada em Belo Horizonte e das Pesquisas Origem e Destino realizadas.na RMBH. Os resultados sugerem que as desigualdades sociais e os meios de transporte são.importantes para entender os padrões de deslocamentos e o acesso ao espaço urbano,.devendo então ser considerados na formulação de políticas de transporte",ARNALDO LÔPO MOT'ALVÃO NETO
2009,SP,SOCIOLOGIA,A EDUCAÇÃO NO PERÍODO DE TRANSIÇÃO SOCIALISTA: A.EXPERIÊNCIA CHINESA DA REVOLUÇÃO CULTURAL E AS MUDANÇAS.NO ENSINO E NAS RELAÇÕES DE PRODUÇÃO,"A presente pesquisa busca apresentar as transformações no ensino.ocorridas durante a Revolução Cultural Chinesa, incentivadas pela necessidade de se.avançar na sociedade de transição. Construir o novo homem é tarefa dos novos.planos pedagógicos; e superar o ensino burguês, atingir as massas e fortalecer a.ideologia proletária é fundamental..Apresentamos, brevemente, a questão da revolucionarização das relações de.produção, que era o objetivo central da Revolução Cultural visando atingir uma.sociedade comunista e, finalmente, a questão da superação da divisão entre trabalho.manual e intelectual será abordada como meio de facilitar a revolucionarização através.da referida mudança do ensino.",Mariana Delgado Barbieri Rezzaghi
2009,SP,SOCIOLOGIA,Elite Política Brasileira e a renegociação das dívidas do Crédito Rural - o caso da Bancada Ruralista,"O presente trabalho analisa do ponto de vista contextual a Medida Provisória nº 114 de 2003, convertida em Lei nº 10.696 no ano de 2003, a partir da ótica da elite política brasileira – especificamente a bancada ruralista. O estudo contempla a discussão, em plenário, dos parlamentares ruralistas sobre a MPV 114/03, que dispõe da renegociação das dívidas do crédito rural. A bancada ruralista é tida como um dos grupos conservadores do Congresso Nacional, com forte coesão interna e intensa capacidade de pressão junto ao Executivo e Legislativo brasileiro, para que seus interesses sejam contemplados. A proposta deste estudo visa entender a reprodução da desigualdade social a partir das renegociações dos recursos públicos aplicados no financiamento da produção agropecuária brasileira. Tanto financiamento como a renegociação das dívidas do crédito rural não contemplam equitativamente todos os produtores rurais, nos colocando diante de questões de justiça social ao não propiciar mecanismos para a redução da desigualdade social.",Orson José Roberto de Camargo
2009,GO,SOCIOLOGIA,"O mundo imaginado, mas nem tanto de Carmo Bernardes","Como manifestação cultural, a literatura é também forma de conhecimento da vida social; se ela não nos dá respostas, pode, entretanto, ampliar o campo das investigações sociais, deixando emergir como são percebidas algumas questões num determinado grupo, num determinado momento. Este estudo pretende discutir a emergência de certas questões sociais em duas obras do escritor mineiro-goiano Carmo Bernardes: Perpetinha: um drama.nos babaçuais (1991) e Santa Rita (1995). Buscamos verificar como estão transfigurados alguns aspectos da realidade nas duas obras, como, por exemplo, as relações entre homens e mulheres, e outras mais. A partir da forma como a literatura plasma estes temas, procuramos examinar como os mesmo são tratados pela teoria social (sociologia, antropologia e historiografia). O sertão, nos dois romances, aparece como local de fala contra-hegemônica, pois não se restringe a uma vitrine de signos, isto é, um mero levantamento de costumes,.paisagens e tipos humanos que correriam o risco de desaparecer em decorrência do processo de inserção da região à lógica capitalista, ou seja, em virtude da perda de materialidade que o sertão vem sofrendo ao longo das últimas décadas. Estas descrições servem como pano de fundo, como cenário para o desenvolvimento de outros temas, como as desigualdades, as injustiças, os preconceitos e a opressão dos trabalhadores.",Miryam Moreira Mastrella de Araújo
